idContact,idContactlist
11061144.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INGENIO PICHICHI"" } } }"
11061147.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INGENIO SAN CARLOS"" } } }"
11061148.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INGENIO SAN CARLOS"" } } }"
11061151.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INMOPACIFICO S.A"" } } }"
11061153.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INORCA LTDA"" } } }"
11061156.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INORCA LTDA"" } } }"
11061160.0,{  }
11061161.0,{  }
11061161.0,{  }
11061168.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""JM INMOBILIARIA"" } } }"
11061174.0,{  }
11061175.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LABORATORIOS RECAMIER"" } } }"
11061179.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INDUSTRIA Y LICORES DEL VALLE"" } } }"
11061181.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LLOREDA S.A."" } } }"
11061182.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LLOREDA S.A."" } } }"
11061183.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LLOREDA S.A."" } } }"
11061184.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MARCELO DUQUE OSPINA ASOCIADOS"" } } }"
11061185.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MARCELO DUQUE OSPINA ASOCIADOS"" } } }"
11061186.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MAGIG BOX"" } } }"
11061189.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MARVAL"" } } }"
11061192.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""METROVIA"" } } }"
11061193.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""METROVIA"" } } }"
11061197.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MULTIPARTES"" } } }"
11061201.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MUSICAR"" } } }"
11061203.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""OFIHOTEL"" } } }"
11061204.0,{  }
11061205.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""OPEN SYSTEM LTDA"" } } }"
11061214.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""PLASTICOS RIMAX S.A.S"" } } }"
11061219.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""PROTECNICA INGENIERIA S.A"" } } }"
11061220.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""PROTECNICA INGENIERIA S.A"" } } }"
11061222.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""PRODUCTOS YUPI"" } } }"
11061223.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""PRODUCTOS YUPI"" } } }"
11061224.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""ROMARCO"" } } }"
11061225.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""ROMARCO"" } } }"
11061227.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""TRANSPORTE RTR"" } } }"
11061229.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SANTA ANITA NAPOLES"" } } }"
11061231.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SANOFYSIN THE LABO DE COLOMBIA"" } } }"
11061234.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SEGURIDAD DIVISAR LTDA"" } } }"
11061238.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SEGURIDAD OMEGA LTDA"" } } }"
11061241.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SEGURIDAD SHATER DE COLOMBIA"" } } }"
11061245.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SERVICIO DE SALUD SSSI GROUP"" } } }"
11061246.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SERVICIO DE SALUD SSSI GROUP"" } } }"
11061249.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SIDOC- SIDERUGIA DE OCCIDENTE S.A"" } } }"
11061259.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SUCROMILES S.AS"" } } }"
11061260.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SUCROMILES S.AS"" } } }"
11061263.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SUPRAPACK S.A"" } } }"
11061264.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SURAMERICANA"" } } }"
11061265.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SURAMERICANA"" } } }"
11061266.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SURAMERICANA"" } } }"
11061267.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SURAMERICANA"" } } }"
11061268.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""TALENT SOLUTIONS"" } } }"
11061270.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""TECAM S.A"" } } }"
11061271.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""TECAM S.A"" } } }"
11061272.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""TECNICAÑA"" } } }"
11061273.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""TECNICAÑA"" } } }"
11061274.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""TELEPACIFICO"" } } }"
11061275.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""TERMOVALLE CAE.SP"" } } }"
11061276.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""TERMOVALLE CAE.SP"" } } }"
11061288.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""UNIVERSIDAD SANTIAGO"" } } }"
11061293.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SAINC INGENIERON CONSTRUCTORES"" } } }"
11061297.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""SODEXO SERVICIOS DE BENEFICIOS E INCENTIVOS COLOMBIA"" } } }"
11061366.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""ARROCERA LA ESMERALDA S.A"" } } }"
11061367.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""ARTEMISA"" } } }"
11061580.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INGENIO MAYAGUEZ"" } } }"
13744701.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CLINICA LOS ROBLES"" } } }"
13744750.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""BEISBOL COLOMBIA"" } } }"
